"","run_id","model","Metric","word2vecdim","max_length","epochs","patience","N","Value","sd","se","ci"
"1",10,"mesh_final","accuracy",32,150,100,5,5,0.912962962962963,0.0075109926948329,0.00335901804883014,0.00932612921994549
"2",10,"mesh_final","kappa",32,150,100,5,5,0.553526749525031,0.0363198871971899,0.0162427473416082,0.0450970963515725
"3",10,"mesh_final","sensitivity",32,150,100,5,5,0.91826280623608,0.00571086031401252,0.00255397437442756,0.00709096965067999
"4",10,"mesh_final","specificity",32,150,100,5,5,0.848648648648649,0.0500182581711399,0.0223688450773606,0.0621058704239656
"5",10,"mesh_final","balanced_accuracy",32,150,100,5,5,0.883455727442364,0.0261466276084452,0.0116931273429713,0.032465326175847
"6",11,"mesh_final","accuracy",100,150,100,5,5,0.915843621399177,0.00801545316081582,0.00358461962760994,0.00995249961907357
"7",11,"mesh_final","kappa",100,150,100,5,5,0.55752010292376,0.0358737275974929,0.0160432187028609,0.0445431160391757
"8",11,"mesh_final","sensitivity",100,150,100,5,5,0.92293986636971,0.00651233475154275,0.00291240463933676,0.00808613160524188
"9",11,"mesh_final","specificity",100,150,100,5,5,0.82972972972973,0.0365115029354224,0.0163284405048575,0.0453350187152251
"10",11,"mesh_final","balanced_accuracy",100,150,100,5,5,0.87633479804972,0.0203987175225859,0.00912258380686364,0.0253283531573232
"11",12,"mesh_final","accuracy",300,150,100,5,5,0.917489711934156,0.00635865725940844,0.00284367797553196,0.00789531579592447
"12",12,"mesh_final","kappa",300,150,100,5,5,0.561169041586152,0.0298895642213041,0.0133670194833363,0.0371127958155926
"13",12,"mesh_final","sensitivity",300,150,100,5,5,0.925167037861915,0.00512733382326116,0.00229301339442917,0.00636642581511584
"14",12,"mesh_final","specificity",300,150,100,5,5,0.824324324324324,0.0331012127403132,0.0148033123650045,0.0411005841565307
"15",12,"mesh_final","balanced_accuracy",300,150,100,5,5,0.87474568109312,0.0179409646711594,0.0080234433173269,0.0222766499252242
"16",13,"mesh_final","accuracy",32,300,100,5,5,0.909876543209877,0.010200242434523,0.00456168709411426,0.0126652738038975
"17",13,"mesh_final","kappa",32,300,100,5,5,0.546740245601829,0.0406143650944313,0.0181632962428286,0.0504293949476589
"18",13,"mesh_final","sensitivity",32,300,100,5,5,0.914253897550111,0.0090468133681915,0.004045857934206,0.0112331024577519
"19",13,"mesh_final","specificity",32,300,100,5,5,0.856756756756757,0.0454263143620854,0.0203152653761796,0.0564042191144881
"20",13,"mesh_final","balanced_accuracy",32,300,100,5,5,0.885505327153434,0.0248063119247831,0.0110937199469757,0.0308011044452159
"21",14,"mesh_final","accuracy",100,300,100,5,5,0.917283950617284,0.0071500207217671,0.00319758647488067,0.0088779233166291
"22",14,"mesh_final","kappa",100,300,100,5,5,0.563245761391856,0.0404326888449186,0.0180820481540671,0.0502038140893103
"23",14,"mesh_final","sensitivity",100,300,100,5,5,0.924053452115813,0.00412177183147479,0.00184331240058429,0.00511785569195264
"24",14,"mesh_final","specificity",100,300,100,5,5,0.835135135135135,0.0614827738706883,0.0274959323640214,0.0763409468249367
"25",14,"mesh_final","balanced_accuracy",100,300,100,5,5,0.879594293625474,0.0316476461394044,0.0141532576191134,0.0392957428391909
"26",15,"mesh_final","accuracy",300,300,100,5,5,0.905144032921811,0.0231812748791185,0.0103669812869635,0.0287833544498668
"27",15,"mesh_final","kappa",300,300,100,5,5,0.531416117548857,0.0558964075996637,0.0249976334181768,0.0694045569454256
"28",15,"mesh_final","sensitivity",300,300,100,5,5,0.910244988864143,0.0299697352147813,0.0134028730415841,0.0372123412518935
"29",15,"mesh_final","specificity",300,300,100,5,5,0.843243243243243,0.098194065538297,0.0439137211061403,0.121924036016164
"30",15,"mesh_final","balanced_accuracy",300,300,100,5,5,0.876744116053693,0.0402684910374396,0.0180086166622112,0.0499999355831797
"31",16,"mesh_final","accuracy",32,600,100,5,5,0.912962962962963,0.00802205295869051,0.00358757114694706,0.00996069435049
"32",16,"mesh_final","kappa",32,600,100,5,5,0.552061165090415,0.0344446072024441,0.0154040966325888,0.0427686286955449
"33",16,"mesh_final","sensitivity",32,600,100,5,5,0.918708240534521,0.00751154652741206,0.00335926573028917,0.00932681689392006
"34",16,"mesh_final","specificity",32,600,100,5,5,0.843243243243243,0.0492826554832716,0.0220398735544596,0.0611924990494576
"35",16,"mesh_final","balanced_accuracy",32,600,100,5,5,0.880975741888882,0.0250763851799513,0.0112145003784679,0.031136444683036
"36",17,"mesh_final","accuracy",100,600,100,5,5,0.912551440329218,0.0151027965595712,0.00675417595151023,0.0187525987602152
"37",17,"mesh_final","kappa",100,600,100,5,5,0.55495055731556,0.0591526409542427,0.0264538652444649,0.0734477046715567
"38",17,"mesh_final","sensitivity",100,600,100,5,5,0.917594654788419,0.0136385843139375,0.00609936032856532,0.0169345391290828
"39",17,"mesh_final","specificity",100,600,100,5,5,0.851351351351351,0.0370082809125112,0.0165506063701566,0.0459518500444767
"40",17,"mesh_final","balanced_accuracy",100,600,100,5,5,0.884473003069885,0.0246395732909257,0.0110191521630196,0.0305940710864455
"41",18,"mesh_final","accuracy",300,600,100,5,5,0.908641975308642,0.0154560856104535,0.00691217161820609,0.0191912650556554
"42",18,"mesh_final","kappa",300,600,100,5,5,0.42040043630414,0.236736698209262,0.105871869992952,0.29394743522007
"43",18,"mesh_final","sensitivity",300,600,100,5,5,0.928507795100223,0.0438164506754585,0.0195953124486184,0.0544053093327879
"44",18,"mesh_final","specificity",300,600,100,5,5,0.667567567567568,0.379053451847091,0.169517857087208,0.470657024553397
