"","run_id","word2vecdim","max_length","epochs","patience","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg"
"1",5,100,300,100,5,0.950617283950617,0.599352141246103,0.983964365256125,0.545945945945946,0.764955155601035,1,2,3,2,2,10,3.33333333333333
"2",4,32,300,100,5,0.950205761316872,0.602073213944503,0.982182628062361,0.562162162162162,0.772172395112262,2,1,5.5,1,1,10.5,3.5
"3",7,32,600,100,5,0.949794238683128,0.578825999766214,0.985300668151448,0.518918918918919,0.752109793535183,3,3,1,3.5,3,13.5,4.5
"4",9,300,600,100,5,0.945473251028807,0.493657445036568,0.984632516703786,0.47027027027027,0.727451393487028,4,6,2,6,6,24,8
"5",8,100,600,100,5,0.940329218106996,0.541894522377476,0.975055679287305,0.518918918918919,0.746987299103112,6,4,9,3.5,4,26.5,8.83333333333333
"6",6,300,300,100,5,0.943004115226337,0.535119653708175,0.980400890868597,0.489189189189189,0.734795040028893,5,5,8,5,5,28,9.33333333333333
"7",1,32,150,100,5,0.939711934156379,0.485558626535055,0.982182628062361,0.424324324324324,0.703253476193343,7,7,5.5,7,7,33.5,11.1666666666667
"8",3,300,150,100,5,0.937860082304527,0.450884659051546,0.983741648106904,0.381081081081081,0.682411364593993,8,9,4,9,9,39,13
"9",2,100,150,100,5,0.937654320987654,0.467695141175845,0.980846325167038,0.413513513513514,0.697179919340276,9,8,7,8,8,40,13.3333333333333
