"","run_id","word2vecdim","max_length","epochs","patience","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg"
"1",5,100,300,100,5,0.917283950617284,0.563245761391856,0.924053452115813,0.835135135135135,0.879594293625474,2,1,3,6,5,17,5.66666666666667
"2",3,300,150,100,5,0.917489711934156,0.561169041586152,0.925167037861915,0.824324324324324,0.87474568109312,1,2,2,8,8,21,7
"3",8,100,600,100,5,0.912551440329218,0.55495055731556,0.917594654788419,0.851351351351351,0.884473003069885,6,4,7,2,2,21,7
"4",1,32,150,100,5,0.912962962962963,0.553526749525031,0.91826280623608,0.848648648648649,0.883455727442364,4.5,5,6,3,3,21.5,7.16666666666667
"5",7,32,600,100,5,0.912962962962963,0.552061165090415,0.918708240534521,0.843243243243243,0.880975741888882,4.5,6,5,4,4,23.5,7.83333333333333
"6",2,100,150,100,5,0.915843621399177,0.55752010292376,0.92293986636971,0.82972972972973,0.87633479804972,3,3,4,7,7,24,8
"7",4,32,300,100,5,0.909876543209877,0.546740245601829,0.914253897550111,0.856756756756757,0.885505327153434,7,7,8,1,1,24,8
"8",9,300,600,100,5,0.908641975308642,0.42040043630414,0.928507795100223,0.667567567567568,0.798037681333895,8,9,1,9,9,36,12
"9",6,300,300,100,5,0.905144032921811,0.531416117548857,0.910244988864143,0.843243243243243,0.876744116053693,9,8,9,5,6,37,12.3333333333333
