"","ensemble_id","desc_run_id","mesh_run_id","desc_word2vecdim","desc_max_length","mesh_word2vecdim","mesh_max_length","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg"
"1",42,5,6,100,300,300,300,0.941152263374486,0.626019467880871,0.956792873051225,0.751351351351351,0.854072112201288,30,3,51,9,6,99,33
"2",43,5,7,100,300,32,600,0.941358024691358,0.627692445089779,0.957461024498886,0.745945945945946,0.851703485222416,26.5,2,47,14,12,101.5,33.8333333333333
"3",38,5,2,100,300,100,150,0.942592592592593,0.629115030907086,0.960133630289532,0.72972972972973,0.844931680009631,15.5,1,34,32.5,28,111,37
"4",40,5,4,100,300,32,300,0.940946502057613,0.624244970417861,0.957461024498886,0.74054054054054,0.849000782519713,33,6,47,20.5,17,123.5,41.1666666666667
"5",58,7,4,32,600,32,300,0.940534979423868,0.622552334923319,0.956570155902004,0.745945945945946,0.851258050923975,40.5,8,52.5,15.5,13,129.5,43.1666666666667
"6",30,4,3,32,300,300,150,0.943004115226337,0.625808081001509,0.961692650334076,0.716216216216216,0.838954433275146,10,5,30,45.5,44,134.5,44.8333333333333
"7",33,4,6,32,300,300,300,0.940946502057613,0.619379089652543,0.958129175946548,0.732432432432432,0.84528080418949,33,15,42.5,28.5,26,145,48.3333333333333
"8",6,1,6,32,150,300,300,0.943004115226337,0.620854886782462,0.962583518930958,0.705405405405405,0.833994462168182,10,11,25.5,50,50,146.5,48.8333333333333
"9",67,8,4,100,600,32,300,0.938477366255144,0.625831161831468,0.951893095768374,0.775675675675676,0.863784385722025,62.5,4,76,2.5,2,147,49
"10",39,5,3,100,300,300,150,0.942181069958848,0.622094541609614,0.960801781737194,0.716216216216216,0.838508998976705,21.5,9,32,45.5,46,154,51.3333333333333
"11",31,4,4,32,300,32,300,0.940740740740741,0.619521478814063,0.958129175946548,0.72972972972973,0.843929452838139,37,13,42.5,32.5,30,155,51.6666666666667
"12",66,8,3,100,600,300,150,0.938888888888889,0.619342738321457,0.9543429844098,0.751351351351351,0.852847167880575,56,16,66,9,8,155,51.6666666666667
"13",20,3,2,300,150,100,150,0.945473251028807,0.620026266284963,0.968819599109131,0.662162162162162,0.815490880635647,1,12,6.5,69.5,67,156,52
